candidate_id,rank_A,score_A,reasoning_A,rank_B,score_B,reasoning_B,rank_shift
CAND_0046459,61.0,2.5224,Matched via Hybrid Cross-Encoder; Trust Score: 0.70,1.0,0.0006,Matched via Hybrid Cross-Encoder; Trust Score: 0.70,60.0
CAND_0088025,5000.0,,,2.0,0.0003,Matched via Hybrid Cross-Encoder; Trust Score: 0.70,4998.0
CAND_0046525,83.0,2.3113,Matched via Hybrid Cross-Encoder; Trust Score: 0.82,3.0,0.0003,Matched via Hybrid Cross-Encoder; Trust Score: 0.82,80.0
CAND_0094685,5000.0,,,4.0,0.0002,Matched via Hybrid Cross-Encoder; Trust Score: 0.56,4996.0
CAND_0065514,5000.0,,,5.0,0.0002,Matched via Hybrid Cross-Encoder; Trust Score: 0.78,4995.0
CAND_0088237,5000.0,,,6.0,0.0001,Matched via Hybrid Cross-Encoder; Trust Score: 0.64,4994.0
CAND_0091745,13.0,3.3317,Matched via Hybrid Cross-Encoder; Trust Score: 0.61,7.0,0.0001,Matched via Hybrid Cross-Encoder; Trust Score: 0.61,6.0
CAND_0005509,5000.0,,,8.0,0.0001,Matched via Hybrid Cross-Encoder; Trust Score: 0.77,4992.0
CAND_0054546,5000.0,,,9.0,0.0001,Matched via Hybrid Cross-Encoder; Trust Score: 0.67,4991.0
CAND_0031842,5000.0,,,10.0,0.0001,Matched via Hybrid Cross-Encoder; Trust Score: 0.75,4990.0
CAND_0076412,5000.0,,,11.0,0.0001,Matched via Hybrid Cross-Encoder; Trust Score: 0.76,4989.0
CAND_0054829,95.0,2.1894,Matched via Hybrid Cross-Encoder; Trust Score: 0.64,12.0,0.0001,Matched via Hybrid Cross-Encoder; Trust Score: 0.64,83.0
CAND_0040099,5000.0,,,13.0,0.0001,Matched via Hybrid Cross-Encoder; Trust Score: 0.64,4987.0
CAND_0093763,5000.0,,,14.0,0.0001,Matched via Hybrid Cross-Encoder; Trust Score: 0.83,4986.0
CAND_0098217,5000.0,,,15.0,0.0001,Matched via Hybrid Cross-Encoder; Trust Score: 0.83,4985.0
CAND_0053605,32.0,2.9153,Matched via Hybrid Cross-Encoder; Trust Score: 0.65,16.0,0.0001,Matched via Hybrid Cross-Encoder; Trust Score: 0.65,16.0
CAND_0073314,76.0,2.3454,Matched via Hybrid Cross-Encoder; Trust Score: 0.89,17.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.89,59.0
CAND_0092255,5000.0,,,18.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.73,4982.0
CAND_0022023,5000.0,,,19.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.65,4981.0
CAND_0068932,56.0,2.5666,Matched via Hybrid Cross-Encoder; Trust Score: 0.71,20.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.71,36.0
CAND_0060538,98.0,2.1737,Matched via Hybrid Cross-Encoder; Trust Score: 0.60,21.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.60,77.0
CAND_0087529,92.0,2.2014,Matched via Hybrid Cross-Encoder; Trust Score: 0.66,22.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.66,70.0
CAND_0019504,5000.0,,,23.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.80,4977.0
CAND_0072688,75.0,2.3799,Matched via Hybrid Cross-Encoder; Trust Score: 0.79,24.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.79,51.0
CAND_0058300,22.0,3.1086,Matched via Hybrid Cross-Encoder; Trust Score: 0.67,25.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.67,-3.0
CAND_0081480,28.0,3.0009,Matched via Hybrid Cross-Encoder; Trust Score: 0.68,26.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.68,2.0
CAND_0019880,80.0,2.3265,Matched via Hybrid Cross-Encoder; Trust Score: 0.57,27.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.57,53.0
CAND_0012065,5000.0,,,28.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.71,4972.0
CAND_0011687,94.0,2.1913,Matched via Hybrid Cross-Encoder; Trust Score: 0.77,29.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.77,65.0
CAND_0054394,36.0,2.8834,Matched via Hybrid Cross-Encoder; Trust Score: 0.79,30.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.79,6.0
CAND_0027691,58.0,2.5509,Matched via Hybrid Cross-Encoder; Trust Score: 0.65,31.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.65,27.0
CAND_0074024,39.0,2.8658,Matched via Hybrid Cross-Encoder; Trust Score: 0.62,32.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.62,7.0
CAND_0041669,5.0,3.6309,Matched via Hybrid Cross-Encoder; Trust Score: 0.74,33.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.74,-28.0
CAND_0010257,5000.0,,,34.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.78,4966.0
CAND_0048690,5000.0,,,35.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.61,4965.0
CAND_0011263,5000.0,,,36.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.70,4964.0
CAND_0081846,5000.0,,,37.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.81,4963.0
CAND_0017648,5000.0,,,38.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.73,4962.0
CAND_0025640,26.0,3.0566,Matched via Hybrid Cross-Encoder; Trust Score: 0.73,39.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.73,-13.0
CAND_0055960,23.0,3.092,Matched via Hybrid Cross-Encoder; Trust Score: 0.61,40.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.61,-17.0
CAND_0007460,5000.0,,,41.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.62,4959.0
CAND_0046064,54.0,2.6294,Matched via Hybrid Cross-Encoder; Trust Score: 0.78,42.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.78,12.0
CAND_0046132,5000.0,,,43.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.67,4957.0
CAND_0073620,46.0,2.7012,Matched via Hybrid Cross-Encoder; Trust Score: 0.58,44.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.58,2.0
CAND_0018499,5000.0,,,45.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.88,4955.0
CAND_0090584,5000.0,,,46.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.75,4954.0
CAND_0002025,53.0,2.6318,Matched via Hybrid Cross-Encoder; Trust Score: 0.80,47.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.80,6.0
CAND_0018293,5000.0,,,48.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.77,4952.0
CAND_0035879,73.0,2.4025,Matched via Hybrid Cross-Encoder; Trust Score: 0.72,49.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.72,24.0
CAND_0074098,90.0,2.2168,Matched via Hybrid Cross-Encoder; Trust Score: 0.68,50.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.68,40.0
CAND_0030348,12.0,3.3318,Matched via Hybrid Cross-Encoder; Trust Score: 0.68,51.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.68,-39.0
CAND_0089012,5000.0,,,52.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.65,4948.0
CAND_0019288,5000.0,,,53.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.78,4947.0
CAND_0053527,67.0,2.4821,Matched via Hybrid Cross-Encoder; Trust Score: 0.81,54.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.81,13.0
CAND_0061244,85.0,2.2867,Matched via Hybrid Cross-Encoder; Trust Score: 0.77,55.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.77,30.0
CAND_0083879,5000.0,,,56.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.62,4944.0
CAND_0039754,5000.0,,,57.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.84,4943.0
CAND_0008295,4.0,3.67,Matched via Hybrid Cross-Encoder; Trust Score: 0.81,58.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.81,-54.0
CAND_0046526,31.0,2.9172,Matched via Hybrid Cross-Encoder; Trust Score: 0.61,59.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.61,-28.0
CAND_0011489,5000.0,,,60.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.75,4940.0
CAND_0035315,78.0,2.3348,Matched via Hybrid Cross-Encoder; Trust Score: 0.62,61.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.62,17.0
CAND_0007009,50.0,2.6679,Matched via Hybrid Cross-Encoder; Trust Score: 0.82,62.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.82,-12.0
CAND_0068456,5000.0,,,63.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.67,4937.0
CAND_0098952,7.0,3.5426,Matched via Hybrid Cross-Encoder; Trust Score: 0.75,64.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.75,-57.0
CAND_0000422,5000.0,,,65.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.79,4935.0
CAND_0014715,87.0,2.2765,Matched via Hybrid Cross-Encoder; Trust Score: 0.62,66.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.62,21.0
CAND_0078785,5000.0,,,67.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.77,4933.0
CAND_0086151,38.0,2.8786,Matched via Hybrid Cross-Encoder; Trust Score: 0.69,68.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.69,-30.0
CAND_0031593,3.0,3.8597,Matched via Hybrid Cross-Encoder; Trust Score: 0.77,69.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.77,-66.0
CAND_0037566,19.0,3.176,Matched via Hybrid Cross-Encoder; Trust Score: 0.74,70.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.74,-51.0
CAND_0001930,5000.0,,,71.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.81,4929.0
CAND_0069248,71.0,2.4485,Matched via Hybrid Cross-Encoder; Trust Score: 0.63,72.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.63,-1.0
CAND_0073007,34.0,2.9028,Matched via Hybrid Cross-Encoder; Trust Score: 0.60,73.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.60,-39.0
CAND_0004402,5000.0,,,74.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.68,4926.0
CAND_0064326,5000.0,,,75.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.78,4925.0
CAND_0018925,43.0,2.7453,Matched via Hybrid Cross-Encoder; Trust Score: 0.68,76.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.68,-33.0
CAND_0094292,5000.0,,,77.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.67,4923.0
CAND_0055905,5000.0,,,78.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.70,4922.0
CAND_0054173,5000.0,,,79.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.61,4921.0
CAND_0091909,15.0,3.2549,Matched via Hybrid Cross-Encoder; Trust Score: 0.72,80.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.72,-65.0
CAND_0002610,5000.0,,,81.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.65,4919.0
CAND_0083307,5000.0,,,82.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.72,4918.0
CAND_0026096,47.0,2.6891,Matched via Hybrid Cross-Encoder; Trust Score: 0.74,83.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.74,-36.0
CAND_0006557,25.0,3.0706,Matched via Hybrid Cross-Encoder; Trust Score: 0.73,84.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.73,-59.0
CAND_0001707,10.0,3.4611,Matched via Hybrid Cross-Encoder; Trust Score: 0.58,85.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.58,-75.0
CAND_0075574,1.0,4.3107,Matched via Hybrid Cross-Encoder; Trust Score: 0.72,86.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.72,-85.0
CAND_0043860,63.0,2.5199,Matched via Hybrid Cross-Encoder; Trust Score: 0.61,87.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.61,-24.0
CAND_0025663,42.0,2.7824,Matched via Hybrid Cross-Encoder; Trust Score: 0.60,88.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.60,-46.0
CAND_0081321,5000.0,,,89.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.74,4911.0
CAND_0067866,5000.0,,,90.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.86,4910.0
CAND_0076163,9.0,3.4681,Matched via Hybrid Cross-Encoder; Trust Score: 0.83,91.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.83,-82.0
CAND_0077261,5000.0,,,92.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.70,4908.0
CAND_0016170,97.0,2.1855,Matched via Hybrid Cross-Encoder; Trust Score: 0.67,93.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.67,4.0
CAND_0043228,49.0,2.6756,Matched via Hybrid Cross-Encoder; Trust Score: 0.64,94.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.64,-45.0
CAND_0050876,24.0,3.0833,Matched via Hybrid Cross-Encoder; Trust Score: 0.72,95.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.72,-71.0
CAND_0017960,5000.0,,,96.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.82,4904.0
CAND_0018549,6.0,3.5773,Matched via Hybrid Cross-Encoder; Trust Score: 0.77,97.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.77,-91.0
CAND_0018722,27.0,3.0361,Matched via Hybrid Cross-Encoder; Trust Score: 0.74,98.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.74,-71.0
CAND_0006418,18.0,3.1831,Matched via Hybrid Cross-Encoder; Trust Score: 0.78,99.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.78,-81.0
CAND_0007596,77.0,2.3373,Matched via Hybrid Cross-Encoder; Trust Score: 0.74,100.0,0.0,Matched via Hybrid Cross-Encoder; Trust Score: 0.74,-23.0
CAND_0041610,40.0,2.8629,Matched via Hybrid Cross-Encoder; Trust Score: 0.77,5000.0,,,-4960.0
CAND_0040887,45.0,2.7046,Matched via Hybrid Cross-Encoder; Trust Score: 0.89,5000.0,,,-4955.0
CAND_0038099,88.0,2.2326,Matched via Hybrid Cross-Encoder; Trust Score: 0.73,5000.0,,,-4912.0
CAND_0033179,91.0,2.2052,Matched via Hybrid Cross-Encoder; Trust Score: 0.77,5000.0,,,-4909.0
CAND_0024990,52.0,2.6509,Matched via Hybrid Cross-Encoder; Trust Score: 0.71,5000.0,,,-4948.0
CAND_0021706,66.0,2.4835,Matched via Hybrid Cross-Encoder; Trust Score: 0.67,5000.0,,,-4934.0
CAND_0021491,48.0,2.6849,Matched via Hybrid Cross-Encoder; Trust Score: 0.67,5000.0,,,-4952.0
CAND_0009024,11.0,3.4581,Matched via Hybrid Cross-Encoder; Trust Score: 0.57,5000.0,,,-4989.0
CAND_0010603,74.0,2.3891,Matched via Hybrid Cross-Encoder; Trust Score: 0.90,5000.0,,,-4926.0
CAND_0045141,33.0,2.9052,Matched via Hybrid Cross-Encoder; Trust Score: 0.61,5000.0,,,-4967.0
CAND_0043304,37.0,2.8786,Matched via Hybrid Cross-Encoder; Trust Score: 0.67,5000.0,,,-4963.0
CAND_0053695,2.0,3.9056,Matched via Hybrid Cross-Encoder; Trust Score: 0.65,5000.0,,,-4998.0
CAND_0067322,96.0,2.1894,Matched via Hybrid Cross-Encoder; Trust Score: 0.64,5000.0,,,-4904.0
CAND_0065195,55.0,2.5905,Matched via Hybrid Cross-Encoder; Trust Score: 0.71,5000.0,,,-4945.0
CAND_0063328,59.0,2.5502,Matched via Hybrid Cross-Encoder; Trust Score: 0.75,5000.0,,,-4941.0
CAND_0064904,44.0,2.7076,Matched via Hybrid Cross-Encoder; Trust Score: 0.75,5000.0,,,-4956.0
CAND_0026855,89.0,2.2215,Matched via Hybrid Cross-Encoder; Trust Score: 0.72,5000.0,,,-4911.0
CAND_0031752,17.0,3.2065,Matched via Hybrid Cross-Encoder; Trust Score: 0.80,5000.0,,,-4983.0
CAND_0032955,51.0,2.6638,Matched via Hybrid Cross-Encoder; Trust Score: 0.69,5000.0,,,-4949.0
CAND_0026716,99.0,2.1698,Matched via Hybrid Cross-Encoder; Trust Score: 0.74,5000.0,,,-4901.0
CAND_0004972,64.0,2.5192,Matched via Hybrid Cross-Encoder; Trust Score: 0.63,5000.0,,,-4936.0
CAND_0005311,14.0,3.263,Matched via Hybrid Cross-Encoder; Trust Score: 0.64,5000.0,,,-4986.0
CAND_0001131,20.0,3.1399,Matched via Hybrid Cross-Encoder; Trust Score: 0.65,5000.0,,,-4980.0
CAND_0002120,69.0,2.4701,Matched via Hybrid Cross-Encoder; Trust Score: 0.80,5000.0,,,-4931.0
CAND_0000666,82.0,2.3177,Matched via Hybrid Cross-Encoder; Trust Score: 0.67,5000.0,,,-4918.0
CAND_0009691,70.0,2.4604,Matched via Hybrid Cross-Encoder; Trust Score: 0.75,5000.0,,,-4930.0
CAND_0014683,65.0,2.4944,Matched via Hybrid Cross-Encoder; Trust Score: 0.63,5000.0,,,-4935.0
CAND_0014858,8.0,3.5114,Matched via Hybrid Cross-Encoder; Trust Score: 0.76,5000.0,,,-4992.0
CAND_0087744,57.0,2.5641,Matched via Hybrid Cross-Encoder; Trust Score: 0.71,5000.0,,,-4943.0
CAND_0084819,16.0,3.2464,Matched via Hybrid Cross-Encoder; Trust Score: 0.74,5000.0,,,-4984.0
CAND_0081852,35.0,2.9011,Matched via Hybrid Cross-Encoder; Trust Score: 0.79,5000.0,,,-4965.0
CAND_0078262,79.0,2.3319,Matched via Hybrid Cross-Encoder; Trust Score: 0.70,5000.0,,,-4921.0
CAND_0078002,81.0,2.3228,Matched via Hybrid Cross-Encoder; Trust Score: 0.79,5000.0,,,-4919.0
CAND_0076587,84.0,2.2917,Matched via Hybrid Cross-Encoder; Trust Score: 0.76,5000.0,,,-4916.0
CAND_0070485,21.0,3.1095,Matched via Hybrid Cross-Encoder; Trust Score: 0.69,5000.0,,,-4979.0
CAND_0069503,72.0,2.4304,Matched via Hybrid Cross-Encoder; Trust Score: 0.72,5000.0,,,-4928.0
CAND_0068596,86.0,2.2835,Matched via Hybrid Cross-Encoder; Trust Score: 0.76,5000.0,,,-4914.0
CAND_0070514,68.0,2.4727,Matched via Hybrid Cross-Encoder; Trust Score: 0.78,5000.0,,,-4932.0
CAND_0071033,93.0,2.197,Matched via Hybrid Cross-Encoder; Trust Score: 0.69,5000.0,,,-4907.0
CAND_0046278,30.0,2.9632,Matched via Hybrid Cross-Encoder; Trust Score: 0.72,5000.0,,,-4970.0
CAND_0093912,41.0,2.818,Matched via Hybrid Cross-Encoder; Trust Score: 0.73,5000.0,,,-4959.0
CAND_0095207,60.0,2.5494,Matched via Hybrid Cross-Encoder; Trust Score: 0.58,5000.0,,,-4940.0
CAND_0096142,62.0,2.5211,Matched via Hybrid Cross-Encoder; Trust Score: 0.83,5000.0,,,-4938.0
CAND_0089444,100.0,2.1686,Matched via Hybrid Cross-Encoder; Trust Score: 0.66,5000.0,,,-4900.0
CAND_0097176,29.0,2.974,Matched via Hybrid Cross-Encoder; Trust Score: 0.65,5000.0,,,-4971.0
